Year,Month,Primary_Sales_No,Primary_Sales_Consideration,Secondary_Sales_No,Secondary_Sales_Consideration
2002,1,2718,8218,5129,9966
2002,2,1506,4305,4189,8070
2002,3,1709,4190,3741,6795
2002,4,2543,6516,4866,8739
2002,5,2257,5844,5068,11097
2002,6,2087,4840,5108,11289
2002,7,755,1866,4206,8406
2002,8,796,2313,4085,7554
2002,9,3278,7005,3000,5108
2002,10,2282,5032,3581,6626
2002,11,1340,3202,3601,5920
2002,12,1817,5757,3312,5594
2003,1,2291,5342,3896,6655
2003,2,966,2001,2683,4405
2003,3,1655,6418,2895,5102
2003,4,2431,5710,2942,4810
2003,5,1257,3314,2873,4174
2003,6,1602,3975,3231,4994
2003,7,2765,6415,3760,6078
2003,8,2766,5755,3793,6448
2003,9,1867,5012,3765,6235
2003,10,3958,13907,5402,13823
2003,11,2602,7897,5209,9739
2003,12,2338,7302,4629,8068
2004,1,2894,8698,4832,9330
2004,2,3734,12848,5715,13463
2004,3,3705,14089,7744,18906
2004,4,1379,6884,7615,19840
2004,5,961,4476,6419,15388
2004,6,2100,6199,5262,11527
2004,7,2421,6587,4490,9439
2004,8,1099,4941,4617,9201
2004,9,1558,6544,5827,12932
2004,10,1801,7923,7010,18662
2004,11,2576,11607,8705,23368
2004,12,1466,6967,6700,16917
2005,1,1056,6021,6853,17269
2005,2,2092,8060,6168,15427
2005,3,993,5049,7680,21639
2005,4,918,5404,13206,33258
2005,5,2471,19273,9992,26527
2005,6,2028,8073,8722,22555
2005,7,1150,7995,6347,16342
2005,8,569,5619,6729,16396
2005,9,524,2515,6576,15418
2005,10,2762,15974,5792,13933
2005,11,1228,8178,5080,11233
2005,12,203,1047,4223,9626
2006,1,148,545,4751,11218
2006,2,251,604,5118,13015
2006,3,895,3440,6561,16406
2006,4,781,4334,6068,15910
2006,5,1137,5848,6675,17525
2006,6,1105,4238,6045,15194
2006,7,552,2063,4846,11701
2006,8,1421,6054,5611,14982
2006,9,3929,13686,5882,15282
2006,10,1165,4455,5170,13697
2006,11,953,4061,6153,15400
2006,12,1649,8397,5606,13973
2007,1,994,4659,6491,16691
2007,2,1267,4820,6537,17312
2007,3,834,4501,7205,20690
