Year,GDP_Growth_Rate,Unemployment_Rate,Annual_Change_Unemployment,Real_Interest_Rate
2002,1.65670091974147,7.28,2.19,8.80561310998132
2003,3.05628426052773,7.86,0.58,11.7112780077962
2004,8.70002142729743,6.74,-1.12,8.93239063221918
2005,7.38815597842218,5.58,-1.16,6.36795110082956
2006,7.0326067617255,4.77,-0.81,8.49691160575335
2007,6.4648486340803,4.01,-0.76,4.29047247517022
2008,2.12791614864771,3.56,-0.45,3.98001402775793
2009,-2.45913556857734,5.26,1.7,5.39567446922388
2010,6.76769570235129,4.33,-0.93,4.71660338181728
2011,4.81471108602818,3.42,-0.91,1.06078361145656
2012,1.70028899867609,3.29,-0.14,1.40535671774578
2013,3.10150834740608,3.4,0.12,3.130773330882
2014,2.76242285756518,3.3,-0.1,2.0901603044543
2015,2.38777713430783,3.31,0.02,1.30874321411279
2016,2.17543135634364,3.39,0.08,3.30754228059141
2017,3.7961040663029,3.12,-0.27,2.06007106117858
2018,2.84692770115917,2.81,-0.32,1.33331966702298
2019,-1.67239123872136,2.92,0.11,2.99794472987414
2020,-6.54476757335387,5.81,2.89,4.33404298552532
2021,6.45440824066419,5.17,-0.63,4.28705514626083
2022,-3.68357113148396,4.32,-0.86,3.35858659999335
2023,3.27652625631858,3.93,-0.39,2.91219092527806
