Year,Month,Rent_Hong_Kong,Rent_Kowloon,Rent_New_Territories,Price_Hong_Kong,Price_Kowloon,Price_New_Territories
1999,1,776,799,551,145982,136973,140446
1999,2,793,835,568,111466,234150,111028
1999,3,790,865,679,107098,161751,104394
1999,4,759,831,681,110840,227823,82195
1999,5,717,861,617,171299,139793,153616
1999,6,847,838,704,120609,162409,83562
1999,7,831,961,650,134810,198976,74664
1999,8,704,930,679,197841,179330,109831
1999,9,821,914,679,124105,167909,138843
1999,10,686,814,784,101764,133228,125460
1999,11,835,917,683,116814,159350,84155
1999,12,729,1101,754,121717,139414,133369
2000,1,767,813,622,105856,138900,83851
2000,2,803,1056,619,145322,153169,82742
2000,3,803,1015,771,115265,135361,87326
2000,4,761,920,679,246998,151200,85820
2000,5,762,991,739,146783,110113,108177
2000,6,896,889,787,84730,160972,84231
2000,7,787,1066,697,90154,168016,109298
2000,8,789,950,760,142814,189570,73192
2000,9,836,909,807,120979,121365,122937
2000,10,779,955,768,113442,177560,84319
2000,11,808,1118,883,80357,159277,61105
2000,12,793,1005,789,123252,165572,73788
2001,1,775,889,653,88847,181467,96915
2001,2,882,1010,635,108558,169950,67510
2001,3,898,921,713,100328,107213,93910
2001,4,787,890,675,111348,162749,104339
2001,5,800,858,730,86007,100941,95171
2001,6,869,905,705,118730,111748,88609
2001,7,796,869,725,154568,131437,112637
2001,8,798,898,725,139634,141579,120699
2001,9,917,915,685,88864,89312,83333
2001,10,901,916,689,86818,85488,95713
2001,11,1066,983,641,103725,122949,85432
2001,12,796,1218,591,123769,115238,67418
2002,1,780,772,691,109905,113451,141865
2002,2,764,829,525,109661,114342,118602
2002,3,852,950,647,93931,129542,95584
2002,4,743,853,733,129094,146688,113116
2002,5,920,890,616,161389,153789,105649
2002,6,798,815,662,104094,130090,129913
2002,7,750,889,608,118727,127162,90347
2002,8,725,789,577,130344,112581,93433
2002,9,762,765,584,104190,136765,75671
2002,10,757,872,664,150569,101295,85352
