Date,Predicted Price HK,Predicted Price KL,Predicted Price NT,Predicted Median Price,Predicted Median Price Lower,Predicted Median Price Upper
2025-02-01,532561.350905217,426159.11342314165,434893.37822023034,434893.37822023034,460599.84000990755,490555.6067171172
2025-03-01,565418.865308583,430434.9177709726,430781.67293560156,430781.67293560156,462967.8162583152,491505.55331587046
2025-04-01,536306.2918564843,433032.17643938324,427816.8497581936,433032.17643938324,461041.1511598295,490657.6981549074
2025-05-01,538126.3403687754,424397.1652147355,425987.3143497898,425987.3143497898,461030.05659132655,490753.60626145283
2025-06-01,542571.2706024355,420073.1789677652,432046.96768370725,432046.96768370725,463318.5271949473,490931.8388765901
2025-07-01,543815.6179677823,425250.9939091997,431366.38765562227,431366.38765562227,460011.68812159897,490766.5450807709
2025-08-01,544099.0212288126,432059.096458748,429873.57506111934,432059.096458748,460214.3290630958,490620.9671894947
2025-09-01,543469.6108057229,417446.4571075521,431466.1681271382,431466.1681271382,462281.7746738303,490989.92657953704
2025-10-01,549590.5878553313,416385.3162883922,427946.0459069137,427946.0459069137,459920.1094928545,489611.65054203663
2025-11-01,550793.5866100991,431227.8062681827,437505.79119514255,437505.79119514255,460776.16880512034,489146.5265989445
2025-12-01,533471.0586723577,430237.68710757524,432593.01404997846,432593.01404997846,462976.11126409605,490996.23769324453
2026-01-01,547145.37662115,428335.5903432499,433610.92177397193,433610.92177397193,460212.55135059665,491346.3896871188
2026-02-01,547672.641296029,428912.8229015876,434862.57149137603,434862.57149137603,463013.10369947186,491427.82469091355
2026-03-01,554770.1803693287,429406.7783693579,439016.41833679675,439016.41833679675,458885.4151142193,491666.97634983994
2026-04-01,546264.7894558476,435772.28670450184,432237.5753327039,435772.28670450184,462661.37933300814,490985.7406710966
2026-05-01,545652.1763451047,424698.11232976464,435739.18696069316,435739.18696069316,461363.62676192686,490317.9076361384
2026-06-01,547951.1328046973,418013.84963332326,438560.18015818263,438560.18015818263,463706.5190035612,490173.6346563736
2026-07-01,553861.409133234,424780.836227468,433825.3551750518,433825.3551750518,462663.4525957487,491816.2008536164
2026-08-01,547436.188794178,433721.7201164459,432434.55711216474,433721.7201164459,463143.8181975416,491006.27016594773
2026-09-01,547598.0057384421,421786.2806110549,439267.57284319506,439267.57284319506,459902.683607956,490546.1403266974
2026-10-01,550428.7520732601,415023.11403992504,429818.3014173391,429818.3014173391,462819.67634032085,490367.62389472686
2026-11-01,555241.4156443684,432716.09007624537,445721.4620583533,445721.4620583533,463009.95359293645,490657.6981549074
2026-12-01,545386.7441447573,426634.0023636465,444529.108906537,444529.108906537,463026.0097849074,490113.0682947726
2027-01-01,550883.1270424003,429961.9994380573,434934.8218478293,434934.8218478293,461030.9267079621,494455.9464594728
2027-02-01,562593.2846233565,431666.73408352013,434870.7913424191,434870.7913424191,462542.9042610537,493443.6952654168
2027-03-01,544109.7142108468,428375.03149141336,447337.00390261854,447337.00390261854,463797.78445691284,491592.4039741424
2027-04-01,556466.4461981688,438502.2126248779,436713.0595034854,438502.2126248779,462693.0827527369,491507.0430357175
2027-05-01,553199.4029874222,424932.048616574,445490.23062799196,445490.23062799196,461682.7396505017,490426.55029327254
2027-06-01,553356.1940871477,415947.3323283683,444954.12892067543,444954.12892067543,460768.86907245335,490945.5170682008
2027-07-01,563836.7314994081,424383.39905759855,436217.86576838593,436217.86576838593,461049.3512558889,494574.6109750597
2027-08-01,550651.9418477165,435455.4577857349,435053.94779082737,435455.4577857349,463088.28876271873,487757.56791354786
2027-09-01,551667.2143025115,426095.4341530986,447095.3615003242,447095.3615003242,462488.3986737637,491079.994960576
2027-10-01,551318.5002921348,413603.1909731147,431750.1425217629,431750.1425217629,461303.02483260835,490522.88361164415
2027-11-01,559861.8337110423,434154.8394323583,454047.7486495816,454047.7486495816,463294.88499854686,491395.2382787114
2027-12-01,557336.0929909379,423052.34110863495,456340.0371394713,456340.0371394713,460779.4470443432,491050.24969443213
2028-01-01,554603.0038978432,431677.9812874932,436080.7775149584,436080.7775149584,461444.6758096537,489733.73973354656
2028-02-01,577315.5512236923,434418.24944792804,434925.2963073154,434925.2963073154,463004.93385016924,489400.72415906267
2028-03-01,597622.1156994152,433617.6820932376,444311.6477243421,444311.6477243421,462252.36199735774,490692.00858293654
2028-04-01,548174.6953454601,432442.7828561269,445128.7001363973,445128.7001363973,464277.19047678105,491828.5765008258
2028-05-01,552208.4926839327,426187.2582275156,437917.0414452627,437917.0414452627,462989.0286790935,492944.1628467901
2028-06-01,558801.7263046649,424280.5769455902,447093.29887302767,447093.29887302767,460424.8274465315,492866.748022754
2028-07-01,555287.23186998,427951.2368321085,450513.7551479597,450513.7551479597,463397.40903782006,489246.05678412685
2028-08-01,562221.5614285304,432628.46131409134,449044.1243884017,449044.1243884017,461271.82057410124,490974.1471867725
2028-09-01,560861.253981936,415239.1407633864,445368.8765593305,445368.8765593305,460809.7811862147,490987.64006225154
2028-10-01,570380.6051273535,419847.64829019905,447807.9063806405,447807.9063806405,461453.52294603223,490165.7807351222
2028-11-01,568100.2192002416,431848.31183276547,451082.07348309073,451082.07348309073,463759.53681281785,490214.8644523917
2028-12-01,543179.346105116,436017.6958662614,442215.88405904133,442215.88405904133,462978.1467137402,491374.0933711943
2029-01-01,564975.3253702824,428958.1972156619,453781.52871295426,453781.52871295426,460779.4470443432,490933.6499821739
2029-02-01,554144.1021583483,428317.89813581004,456570.32412949775,456570.32412949775,463379.5659803127,490831.37476094003
2029-03-01,587001.6165619406,432593.70248367236,452458.6188448529,452458.6188448529,463133.9114074362,490801.65455263195
2029-04-01,557889.043109688,435190.96115205646,449493.7956674645,449493.7956674645,459267.4736225545,490975.6002325597
2029-05-01,559709.0916219746,426555.94992741896,447664.26025909185,447664.26025909185,460788.9000461556,490859.4279352012
