Year,Month,A,B,C,D,E
1999,1,5.2,4.3,4.3,4.5,4.5
1999,2,5.2,4.3,4.4,4.7,4.4
1999,3,5.2,4.3,4.5,4.6,4.6
1999,4,5.1,4.4,4.4,4.5,4.2
1999,5,5.1,4.3,4.4,4.5,4.1
1999,6,5.1,4.3,4.4,4.3,4.1
1999,7,5.2,4.4,4.5,4.3,4.2
1999,8,5.3,4.4,4.5,4.4,4.1
1999,9,5.4,4.6,4.5,4.4,4.3
1999,10,5.3,4.6,4.6,4.5,4.2
1999,11,5.4,4.6,4.6,4.6,4.0
1999,12,5.4,4.5,4.5,4.5,4.2
2000,1,5.3,4.4,4.4,4.4,3.9
2000,2,5.3,4.4,4.5,4.4,4.1
2000,3,5.5,4.5,4.5,4.4,4.1
2000,4,5.6,4.7,4.6,4.4,4.2
2000,5,5.9,4.9,4.9,4.5,4.4
2000,6,6.0,5.1,4.9,4.9,4.5
2000,7,6.0,5.0,5.0,4.9,4.6
2000,8,5.9,4.9,5.0,4.9,4.6
2000,9,5.8,5.0,5.0,4.9,4.5
2000,10,5.9,5.1,5.2,4.9,4.5
2000,11,6.3,5.2,5.3,5.1,4.5
2000,12,6.3,5.3,5.3,5.1,4.6
2001,1,6.4,5.4,5.4,5.1,4.7
2001,2,6.5,5.4,5.4,5.3,4.9
2001,3,6.3,5.2,5.3,5.2,5.1
2001,4,6.1,5.2,5.2,5.2,4.9
2001,5,6.3,5.2,5.3,5.5,5.0
2001,6,6.2,5.2,5.1,5.5,5.0
2001,7,6.1,5.2,5.3,5.4,5.0
2001,8,6.3,5.3,5.5,5.4,4.9
2001,9,6.3,5.3,5.5,5.5,5.1
2001,10,6.5,5.5,5.6,5.5,5.4
2001,11,6.5,5.3,5.6,5.5,5.1
2001,12,6.3,5.2,5.4,5.3,5.1
2002,1,6.2,5.1,5.4,5.3,5.0
2002,2,6.0,5.1,5.4,5.3,4.8
2002,3,6.1,5.1,5.3,5.3,4.8
2002,4,6.1,5.1,5.2,5.2,4.6
2002,5,6.1,5.0,5.1,5.1,4.6
2002,6,6.1,5.0,5.1,5.0,4.7
2002,7,6.0,5.0,5.2,5.0,4.8
2002,8,6.2,5.2,5.2,5.0,4.9
2002,9,6.5,5.2,5.2,5.0,5.0
2002,10,6.3,5.3,5.1,4.9,4.9
2002,11,6.4,5.2,5.0,4.8,4.7
2002,12,6.3,5.2,5.0,4.9,4.4
2003,1,6.4,5.2,4.9,4.9,4.4
2003,2,6.4,5.2,4.9,4.9,4.7
2003,3,6.4,5.4,5.2,5.1,4.7
2003,4,6.3,5.4,5.2,5.1,4.7
2003,5,6.4,5.3,5.0,4.9,4.7
2003,6,6.5,5.3,5.0,4.8,4.6
2003,7,6.5,5.4,5.1,4.9,4.4
2003,8,6.5,5.4,5.1,4.8,4.3
2003,9,6.1,5.1,4.7,4.4,4.3
2003,10,5.9,5.0,4.4,4.3,4.0
2003,11,5.9,4.9,4.5,4.3,3.9
2003,12,5.8,4.9,4.5,4.0,3.8
2004,1,5.6,4.7,4.3,4.1,3.5
2004,2,5.4,4.4,4.0,3.9,3.3
2004,3,5.2,4.2,3.8,3.5,3.3
2004,4,5.2,4.2,3.9,3.6,3.3
2004,5,5.2,4.4,3.9,3.8,3.3
2004,6,5.5,4.5,4.2,4.0,3.3
2004,7,5.5,4.5,4.2,3.9,3.4
2004,8,5.3,4.4,4.0,4.0,3.4
2004,9,5.2,4.2,3.9,3.7,3.3
2004,10,5.0,4.1,3.7,3.6,3.1
2004,11,5.2,4.2,3.9,3.6,3.2
2004,12,5.1,4.2,3.9,3.5,3.1
2005,1,5.1,4.2,3.8,3.4,3.0
2005,2,4.9,4.0,3.7,3.6,3.0
2005,3,4.6,3.8,3.5,3.4,2.9
2005,4,4.7,3.9,3.6,3.3,2.8
2005,5,4.9,3.9,3.5,3.3,2.9
2005,6,5.0,4.0,3.7,3.3,3.0
2005,7,5.0,4.1,3.7,3.4,3.1
2005,8,5.0,4.0,3.8,3.4,3.1
2005,9,5.1,4.1,3.6,3.4,3.1
2005,10,5.2,4.3,3.9,3.4,3.0
2005,11,5.5,4.4,4.0,3.6,3.2
2005,12,5.3,4.3,4.0,3.6,3.1
2006,1,5.2,4.2,3.9,3.6,3.0
2006,2,5.2,4.2,3.9,3.7,3.0
2006,3,5.2,4.2,3.7,3.6,3.0
2006,4,5.2,4.2,3.8,3.5,3.0
2006,5,5.1,4.1,3.7,3.4,3.2
2006,6,5.3,4.2,3.8,3.6,3.0
2006,7,5.3,4.2,4.0,3.6,3.3
2006,8,5.3,4.2,3.8,3.5,3.1
2006,9,5.3,4.3,3.7,3.5,3.1
2006,10,5.4,4.3,3.8,3.6,3.3
2006,11,5.5,4.3,3.7,3.5,3.4
2006,12,5.4,4.3,3.8,3.6,3.3
2007,1,5.3,4.3,3.8,3.7,3.1
2007,2,5.2,4.2,3.8,3.6,3.2
2007,3,5.2,4.3,3.9,3.6,3.2
2007,4,5.2,4.3,3.8,3.6,3.1
2007,5,5.2,4.2,3.8,3.7,3.1
2007,6,5.2,4.2,3.9,3.6,3.1
2007,7,5.2,4.2,3.8,3.6,3.3
2007,8,5.2,4.3,3.8,3.5,3.1
2007,9,5.2,4.3,3.9,3.5,3.0
2007,10,5.1,4.2,3.8,3.5,2.9
2007,11,4.9,4.2,3.6,3.4,2.9
2007,12,4.8,4.1,3.5,3.3,2.8
2008,1,4.7,4.0,3.5,3.3,2.9
2008,2,4.7,4.0,3.5,3.4,2.9
2008,3,4.7,4.1,3.6,3.4,2.9
2008,4,4.8,4.1,3.7,3.4,2.9
2008,5,4.9,4.1,3.6,3.4,3.0
2008,6,4.8,4.2,3.7,3.4,3.0
2008,7,4.9,4.2,3.8,3.7,3.0
2008,8,5.0,4.2,3.8,3.6,3.0
2008,9,4.9,4.1,3.8,3.7,3.3
2008,10,5.1,4.3,4.1,3.8,3.4
2008,11,5.1,4.3,4.1,4.0,3.7
2008,12,4.8,3.9,3.7,3.6,3.1
2009,1,4.7,3.7,3.4,3.3,3.0
2009,2,4.6,3.7,3.4,3.2,2.9
